id, name, type, left, right, points, 
, Intercept, , , ,828,
1.01, APP_Gender, ordinal,1, ,0,
1.01, APP_Gender, ordinal,2, ,36,
1.02, APP_IncomeType, nominal, 2;3;4;7;9;12;13;14, ,-10,
1.02, APP_IncomeType, nominal, 1;10;NaN;, ,0,
1.02, APP_IncomeType, nominal,8, ,0,
1.02, APP_IncomeType, nominal, 5;6, ,38,
1.03, APP_LoanAmount, numeric, -inf,150.22,64,
1.03, APP_LoanAmount, numeric,150.22,399.04,43,
1.03, APP_LoanAmount, numeric,399.04,550.98,33,
1.03, APP_LoanAmount, numeric,550.98, inf,0,
1.03, APP_LoanAmount, numeric, NaN, ,0,
1.05, APP_LoanPeriod, numeric, -inf,19,60,
1.05, APP_LoanPeriod, numeric,19,30,41,
1.05, APP_LoanPeriod, numeric,30,120,33,
1.05, APP_LoanPeriod, numeric,120,150,33,
1.05, APP_LoanPeriod, numeric,150,390,0,
1.05, APP_LoanPeriod, numeric, NaN, ,0,
1.05, APP_LoanPeriod, numeric,390, inf,-33,
1.12, APP_CreditsNumber, numeric, -inf,1,0,
1.12, APP_CreditsNumber, numeric, NaN, ,0,
1.12, APP_CreditsNumber, numeric,1,3,37,
1.12, APP_CreditsNumber, numeric,3,4,62,
1.12, APP_CreditsNumber, numeric,4,9,73,
1.12, APP_CreditsNumber, numeric,9, inf,74,
1.16, APP_MaxDaysArrearsPaidLoans, numeric, -inf,8,0,
1.16, APP_MaxDaysArrearsPaidLoans, numeric, NaN, ,0,
1.16, APP_MaxDaysArrearsPaidLoans, numeric,8,38,0,
1.16, APP_MaxDaysArrearsPaidLoans, numeric,38,49,0,
1.16, APP_MaxDaysArrearsPaidLoans, numeric,49,200,-57,
1.16, APP_MaxDaysArrearsPaidLoans, numeric,200, inf,-125,
1.17, APP_PaymentType, nominal,99, ,-83,
1.17, APP_PaymentType, nominal, 1;2;NaN;4;6, ,0,
1.18, APP_Age, numeric, -inf,29,0,
1.18, APP_Age, numeric,29,51,0,
1.18, APP_Age, numeric, NaN, ,0,
1.18, APP_Age, numeric,51,57,10,
1.18, APP_Age, numeric,57, inf,28,
1.19, APP_LocationCode, nominal, 672;10971;12259;15944;44238;48859, ,-29,
1.19, APP_LocationCode, nominal, 549;702;878;3366;3592;3928;4501;5236;5284;6361;7140;7603;7716;11154;11538;12543;12574;12961;15031;17395;18099;20184;20482;21052;21498;21912;22215;22232;23025;23947;24565;27190;27303;27382;30962;32874;32901;36779;36837;37277;37376;39030;39116;40422;40909;41112;43236;43445;44327;44478;44570;44793;46045;46084;48489;48619;50245;51648;51723;52009;52218;54020;55021;55782;56719;56770;57772;58222;61460;61813;62997;63207;63427;65869;66264;67088;67800;68789;69633;69660;70175;70295;70528;70648;72165;73273;73359;75054;77181;80501;83199;87014;99999, ,-25,
1.19, APP_LocationCode, nominal, 357;4279;10803;30065;35167;36525;37798;37863;40467;40525;43476;46663;47278;55052;55871;56126;56277;56722;62004;65334;65677;67338;67372;67653;72343;73496;77195;80371;87338;87374, ,-15,
1.19, APP_LocationCode, nominal, 2676;3719;6207;10447;10450;12766;14218;16359;18157;20465;22407;24030;27632;31111;35033;35496;35883;38978;39921;43952;47714;48996;51809;55155;55302;56407;56784;57649;58503;65231;65927;66425;68080;68850;72223;73198;73403;81414;83510, ,-6,
1.19, APP_LocationCode, nominal, 151;607;2837;3504;5027;5815;7079;7598;7702;10135;15151;18280;31044;32024;35064;36498;51500;57354;58356;59080;61577;61710;68134;72624;73626;77270;81178;NaN;, ,0,
1.19, APP_LocationCode, nominal, 182;415;518;833;2508;2659;2720;3616;4532;5611;6224;6286;6570;7332;14492;14711;15309;17974;20242;20746;21097;22006;23409;24061;30778;36079;36590;37023;38558;38916;39846;39970;44166;47264;47336;47843;48043;49494;51319;51980;53045;53535;53552;55909;57491;58030;62075;62671;65139;65276;65365;65766;66229;66460;67444;67708;69835;70247;72271;72761;77058;77308;81390;83017, ,31,
1.2, APP_LocationCodeID, nominal, 672;10971;15944;44238;48859, ,-63,
1.2, APP_LocationCodeID, nominal, 549;878;3504;3592;3928;4501;5236;5284;5611;6361;7140;7716;11154;11538;12259;20465;20482;21097;21912;22006;22215;24061;24565;27190;30065;30962;32874;32901;36079;36779;37376;39030;39116;39846;40909;41112;43236;43445;44327;44570;46084;47336;47593;47843;48489;48619;50245;51648;51723;52218;55021;55782;56770;58222;62004;62997;63207;63427;65365;65869;67088;69660;70175;70247;70295;70528;72165;73273;73359;77181;80501;83199;87014;99999, ,-20,
1.2, APP_LocationCodeID, nominal, 182;357;415;607;702;2676;2837;4279;7603;10450;10803;12574;12961;14218;16359;17395;17645;18157;21052;23947;27303;27382;31044;32024;35167;36837;37277;37798;37863;39921;40467;44793;46045;46663;47278;47714;52009;53535;54020;55052;55871;56126;56277;56722;58030;61460;65231;65334;65677;65927;67372;67653;77195, ,-13,
1.2, APP_LocationCodeID, nominal, 151;3366;3719;6207;6286;7702;10447;12543;20184;22407;30778;31111;35033;36525;38978;40422;43476;43952;44478;51809;55155;55302;56407;56719;56784;61813;67338;67708;67800;68080;68789;68850;72223;72343;73496;75054;77308;81414;83510;87338;87374, ,0,
1.2, APP_LocationCodeID, nominal, 2659;5027;5815;6570;7079;10135;12766;15151;17974;23025;24030;27632;35064;35496;35883;36498;39970;40525;48996;51500;51980;55909;57354;57491;57649;57772;58356;58503;59080;61577;61710;65139;65766;66264;66425;67444;68134;69633;69835;72624;73198;73626;77270;80371;NaN;, ,0,
1.2, APP_LocationCodeID, nominal, 518;833;2508;2720;3616;4532;6224;7332;7598;10820;14492;14711;15031;15309;18099;18280;20242;20746;21498;22232;23409;36590;37023;38558;38916;44166;47264;47754;48043;49494;51319;53045;53552;62075;62671;65276;66229;66460;70648;72271;72761;73403;77058;81178;81390;83017, ,43,
1.26, APP_AccessChannel, nominal, 7;12;14, ,-92,
1.26, APP_AccessChannel, nominal, 4;5;6;9;11;13, ,-38,
